"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.131524716E2,4.301841013E1,1.381904034E1,1.165058148E2,1.606862183E2,1.269999981E0,2.581000061E2,1.679992198E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.141507379E2,4.301841251E1,1.381903003E1,1.157854517E2,1.599658813E2,1.139999986E0,2.852000122E2,1.690945536E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.151524914E2,4.301841441E1,1.381901681E1,1.159038837E2,1.600843506E2,1.269999981E0,2.656000061E2,1.703000846E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.161589665E2,4.301842297E1,1.381900771E1,1.152308462E2,1.594113159E2,1.419999957E0,3.377000122E2,1.724627093E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.171507691E2,4.301844049E1,1.381901926E1,1.145617497E2,1.587421265E2,1.509999990E0,4.809999847E1,1.725073731E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.181536829E2,4.301844024E1,1.381901969E1,1.146132030E2,1.587935791E2,1.149999976E0,3.062999878E2,1.730165969E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.191565420E2,4.301844251E1,1.381901425E1,1.148442715E2,1.590246582E2,1.159999967E0,3.156000061E2,1.740720037E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.201524313E2,4.301845161E1,1.381901794E1,1.157018562E2,1.598822021E2,7.200000286E-1,3.017000122E2,1.760117075E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.211519486E2,4.301846886E1,1.381902149E1,1.157174251E2,1.598977051E2,3.210000038E0,1.139999962E1,1.781489186E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.221527856E2,4.301848808E1,1.381902166E1,1.151397884E2,1.593200073E2,1.389999986E0,3.363999939E2,1.799774391E-1,3.790092468E0,4.000000000E0,2.400000000E1
1.231584952E2,4.301848381E1,1.381899994E1,1.134780218E2,1.576583252E2,1.250000000E0,2.513000031E2,1.816853222E-1,3.790092468E0,4.000000000E0,2.500000000E1
1.241502200E2,4.301847684E1,1.381898122E1,1.139924650E2,1.581728516E2,1.159999967E0,2.573999939E2,1.831315722E-1,3.790092468E0,3.000000000E0,2.500000000E1
1.251547122E2,4.301847372E1,1.381896395E1,1.139059119E2,1.580863647E2,1.350000024E0,2.533000031E2,1.845293277E-1,3.790092468E0,3.000000000E0,2.500000000E1
1.261528502E2,4.301847216E1,1.381894689E1,1.129541911E2,1.571347046E2,1.320000052E0,2.748999939E2,1.858759013E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.271535793E2,4.301847005E1,1.381893058E1,1.122321462E2,1.564127197E2,1.190000057E0,2.688999939E2,1.870834654E-1,3.790092468E0,3.000000000E0,2.400000000E1
